"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","HEBERLING, HECTOR ANTONIO","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","GRANILLO, MARIA LAURA","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","GIECCO, HECTOR MARCELO","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","ALONSO, MARINA","4"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","QUIROZ, LUIS MARCELO","5"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","FANJUL, PATRICIA IRENE","6"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","WASSERMAN, MAXIMILIANO","7"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","CORREA, LUCAS MATIAS","8"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","COLODRO, KARINA VANESA","9"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","HIDALGO ROBLES, MARINA","10"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","SIMONETTI, ERIC ANTONIO","11"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","FERNANDEZ, MARTIN","12"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","AGOSTI, GEORGINA","13"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","RODRIGUEZ GHRIMOLDI, MATIAS ALEXIS","14"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","KENNEDY, MAITE PATRICIA","15"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","DOPAZO, ANDREA SUSANA","16"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","SINISTRI, LEONARDO OSCAR","17"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","LINAREZ, MARÍA OFELIA","18"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","DONADIO, LUIS ALBERTO","19"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","BORENSTEIN, ARIEL GUSTAVO","20"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","ABAL, PAULA GABRIELA","21"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","CISNEROS, MAXIMILIANO MARTIN","22"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","WIERNA, SILVIA MONICA","23"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","PILCIC, IVAN","24"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","GARCIA, NOELIA LUJAN","25"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","HIDALGO ROBLES, LEANDRO","26"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","MASSACANNE, MARTINIANO MARTIN","27"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","ZEBALLOS, ALICIA MIRTA","28"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","CAVIEDES, BENJAMIN ARGENTINO","29"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","LESCANO, LAURA GIMENA","30"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","DI BATOLO, LUIS MARIO","31"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","GASPARI, FACUNDO JOSE","32"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","LIANES, MARIA","33"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","KARAMANIN, VICTOR ESTEBAN","34"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL TITULAR","PINIEYRUA, SILVANA SANDRA","35"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL SUPLENTE","BORDA, MAXIMILIANO","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL SUPLENTE","ALDANA, JOSE LUIS","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL SUPLENTE","GARATE, MARIA PILAR","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","BUENOS AIRES","DIPUTADO NACIONAL SUPLENTE","PERAZZO, GABRIEL","4"
